city1,city2,actual_fare,predicted_fare,pct_diff,suggested_alternatives
"Los Angeles, CA (Metropolitan Area)","Louisville, KY",293.29,253.19587861001492,0.15835218807704252,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",271.74,233.29602129757404,0.16478625948528222,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",333.04,287.75256580114365,0.15738325068542755,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Seattle, WA",232.33,199.53811168670654,0.16433897282129137,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",398.78,344.4737125337124,0.15765001940742526,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Louisville, KY",372.64,314.7893715649843,0.18377567243585646,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Madison, WI","New York City, NY (Metropolitan Area)",341.81,295.4889987409115,0.1567604934751001,"Orlando, FL;Orlando, FL;Orlando, FL"
"Madison, WI","Orlando, FL",234.31,201.1306266784668,0.16496430140683996,"Phoenix, AZ;Phoenix, AZ;Phoenix, AZ"
"Martha's Vineyard, MA","New York City, NY (Metropolitan Area)",181.96,152.87789154052734,0.1902309625441368,
"Miami, FL (Metropolitan Area)","Pensacola, FL",182.95,150.30010372400284,0.21723136223480186,"Portland, OR;Seattle, WA;New Haven, CT"
"Miami, FL (Metropolitan Area)","San Antonio, TX",347.22,288.867796510458,0.2020031453642133,"Portland, OR;Seattle, WA;New Haven, CT"
"Miami, FL (Metropolitan Area)","Pensacola, FL",262.14,220.06204694509506,0.19120949586278851,"Portland, OR;Seattle, WA;New Haven, CT"
"Miami, FL (Metropolitan Area)","Oklahoma City, OK",271.91,227.4473118185997,0.19548566138632353,"Portland, OR;Seattle, WA;New Haven, CT"
"Milwaukee, WI","Tampa, FL (Metropolitan Area)",268.02,232.79503844678402,0.15131319717223374,"Seattle, WA;Seattle, WA;Seattle, WA"
"Milwaukee, WI","Seattle, WA",388.85,333.7570954859257,0.16506886373116098,"Tampa, FL (Metropolitan Area);Phoenix, AZ;San Francisco, CA (Metropolitan Area)"
"Milwaukee, WI","Minneapolis/St. Paul, MN",266.69,231.70245999097824,0.15100202220720513,"Seattle, WA;Seattle, WA;Seattle, WA"
"Minneapolis/St. Paul, MN","Salt Lake City, UT",367.42,317.89287081360817,0.15579817521428896,"Punta Gorda, FL;Punta Gorda, FL;Myrtle Beach, SC"
"Minneapolis/St. Paul, MN","San Antonio, TX",341.0,292.2150807976723,0.16694867037374458,"Punta Gorda, FL;Punta Gorda, FL;Myrtle Beach, SC"
"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",290.2,239.92135739326477,0.2095630132848968,"Punta Gorda, FL;Punta Gorda, FL;Myrtle Beach, SC"
"Minneapolis/St. Paul, MN","San Francisco, CA (Metropolitan Area)",326.39,272.7756817191839,0.19655094597476153,"Punta Gorda, FL;Punta Gorda, FL;Myrtle Beach, SC"
"Minneapolis/St. Paul, MN","Salt Lake City, UT",349.88,298.41176399588585,0.17247388412215456,"Punta Gorda, FL;Punta Gorda, FL;Myrtle Beach, SC"
"Minneapolis/St. Paul, MN","Tucson, AZ",262.36,222.78143945336342,0.17765645398355498,"Punta Gorda, FL;Punta Gorda, FL;Myrtle Beach, SC"
